#"Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)"
5000,10.000000000000009,-3568.2976017155925,5073.398700841237,290.77417670759223,20.423306498354194,0.7491217325924031
10000,19.999999999999794,-3890.48218622254,5016.252241790935,287.4989137996425,20.588958511899055,0.7430945446060644
15000,29.99999999999425,-3559.565441150695,5200.794674517587,298.0756843449597,19.793641594892712,0.7729523986763744
20000,40.00000000000292,-3778.7834208295317,5407.006161440164,309.89438397280855,19.705901693093285,0.7763939446970403
25000,50.00000000001514,-3721.2222940569227,4943.006817907095,283.30096306025143,20.24864906300789,0.7555833824619641
30000,60.00000000002736,-3499.849464732579,5160.983279535547,295.7939544273872,20.428568888425275,0.7489287591741889
35000,70.00000000001826,-3657.924900476588,5290.938241891563,303.24212663231776,20.456922651121296,0.7478907267840783
40000,79.99999999999496,-3794.585552245382,5236.693898135796,300.1331940751325,20.315360536840874,0.7531022017338967
45000,89.99999999997165,-3829.2908147097805,5340.653777369298,306.09149738958126,20.42034476717624,0.7492303839015167
50000,99.99999999994834,-3659.391479655056,5044.500686149113,289.11793068277404,20.148357521561557,0.7593444146968373
55000,109.99999999992504,-3752.936271326853,5224.524336914532,299.43571407135926,20.20692978944677,0.7571433616453247
60000,119.99999999990173,-3781.709027974248,5236.7596397476445,300.13696195622913,20.050395134753668,0.763054425934671
65000,129.99999999989262,-4035.9796177707503,4918.431660154834,281.8924750457597,19.744822062213963,0.774863541494851
70000,139.99999999994037,-3484.6612728749715,5098.072436337359,292.1883145564462,20.643986509539243,0.7411137738461084
75000,149.99999999998812,-3582.3517002716435,5294.670911259949,303.45605893421515,20.3962329115813,0.750116103088108
80000,160.00000000003587,-3701.572818770015,5179.032189844875,296.8284004358969,20.32867320324559,0.7526090166509304
85000,170.00000000008362,-3905.6480166162,5114.80680183135,293.14741941615927,20.015419935547094,0.7643877969375509
90000,180.00000000013137,-3711.303168643659,5384.762209153734,308.61950547533564,19.76897814587625,0.7739167212597794
95000,190.0000000001791,-4021.3617575312564,4964.564030727372,284.5364821234165,20.011992497575044,0.7645187130250376
100000,200.00000000022686,-3655.0494031660564,5290.416027635336,303.21219671169194,20.546957439267818,0.7446135416659516
105000,210.0000000002746,-3653.4125741105163,5261.050616470631,301.52916256464545,20.956177921922286,0.730073146272914
110000,220.00000000032236,-3657.999865964128,5261.448975900188,301.55199393312114,20.09473138639978,0.7613708516485865
115000,230.0000000003701,-3516.491554913646,5375.431228319183,308.08471441513547,19.986441032963615,0.7654961042878651
120000,240.00000000041786,-3698.320061593815,5103.666213767137,292.50891345330785,20.124051865135563,0.7602615443373445
125000,250.0000000004656,-3661.319831670862,5107.299164534197,292.71713053432217,19.76810560310439,0.7739508811056803
130000,260.00000000051335,-3736.695723467612,5079.699440375902,291.13529406872874,20.43264406715669,0.7487793894430518
135000,270.0000000005611,-3817.861488189774,5238.187623333186,300.2188046766463,20.10502892217439,0.7609808873459761
140000,280.00000000060885,-3828.0149112833897,5288.366222094279,303.0947152059485,19.77356873639874,0.7737370503661146
145000,290.0000000006566,-3535.472236020112,5256.616746643209,301.27504201849484,20.466211719281855,0.7475512791113464
150000,300.00000000070435,-3959.018157011098,5249.748828446027,300.8814176697621,19.678250774171023,0.7774848956287528
155000,310.0000000007521,-3573.02392637539,5174.944341968745,296.5941116147778,20.391566988034885,0.7502877419028198
160000,320.00000000079984,-3866.787400601006,5296.606488334946,303.56699360811393,20.02706954543599,0.7639431577646579
165000,330.0000000008476,-3735.7193850725125,5403.786528488621,309.70985557754756,19.60033168737927,0.7805757062348193
170000,340.00000000089534,-3582.858698967899,5041.14424670767,288.92556143036484,20.281587846529977,0.7543562597309369
175000,350.0000000009431,-3867.0662155887076,4988.010421747342,285.8802765790869,20.009709503142677,0.7646059402766378
180000,360.00000000099084,-3751.164845025858,5203.593157263007,298.23607515284067,20.290931490173058,0.7540088909532016
185000,370.0000000010386,-3700.83555957277,4949.293808557093,283.66129242484845,20.475578940194453,0.7472092874150246
190000,380.00000000108633,-3566.608463370958,5205.953626217321,298.3713618624621,20.178635405060625,0.7582050243831548
195000,390.0000000011341,-3606.4536139955053,5238.933610796928,300.2615598203664,20.399624160624974,0.7499914032163254
200000,400.00000000118183,-3845.5572912525568,5371.523150552064,307.86072884604255,19.917131363898488,0.768159955858127
205000,410.0000000012296,-3765.775080671956,5059.877643221524,289.99923773089876,20.00206815720588,0.7648980409958767
210000,420.00000000127733,-3765.754582598791,5192.423120773397,297.59588139800695,19.668396498434426,0.7778744317326834
215000,430.0000000013251,-3754.652384853609,5255.442265181424,301.20772838906294,19.95608080490618,0.7666606934940556
220000,440.0000000013728,-3831.8904038637957,5277.075188090559,302.44758666151444,20.206446444166627,0.7571614727798706
225000,450.0000000014206,-3726.001420019071,5320.0179175012745,304.90878427799726,19.87062366290165,0.7699578538079278
230000,460.0000000014683,-3630.22680692,5258.839926395565,301.40246020505634,20.44731994298717,0.7482419599229714
235000,470.00000000151607,-3517.460594060016,5277.410904526827,302.4668277415318,19.98009422665664,0.765739269082162
240000,480.0000000015638,-3298.1717511290663,5303.420714462176,303.95754067702774,21.149287789505482,0.7234069960930121
245000,490.00000000161157,-3727.3725892507537,5167.742207912728,296.18133218935463,20.349143281054115,0.7518519348948357
250000,500.0000000016593,-3797.786657575227,5205.133630371885,298.32436504022917,20.292588174005367,0.7539473337812751
