#"Step","Time (ps)","Potential Energy (kJ/mole)","Temperature (K)"
15000,14.999999999997126,-679090.625,311.63777866051487
20000,20.00000000000146,-679449.5,298.2434368703385
25000,25.00000000000757,-679138.875,290.70502222506803
30000,30.00000000001368,-679193.0625,306.78821010411605
35000,35.00000000000913,-679076.4375,298.01938287973485
40000,39.99999999999748,-679172.5625,300.9905525659643
45000,44.999999999985825,-679301.0,310.28154224745447
50000,49.99999999997417,-679442.375,293.0732478820919
55000,54.99999999996252,-679434.0,299.7523979033912
60000,59.999999999950866,-679491.375,296.64676164069573
65000,64.99999999994631,-679335.75,303.48689610156106
70000,69.99999999997019,-679370.5625,309.2996690667711
75000,74.99999999999406,-679289.9375,309.8092251190651
80000,80.00000000001793,-679480.875,301.50420412934966
85000,85.00000000004181,-679331.75,294.2192175475272
90000,90.00000000006568,-679423.25,310.4565910444021
95000,95.00000000008956,-679201.625,299.78456763590566
100000,100.00000000011343,-679121.6875,304.16503869573324
105000,105.0000000001373,-679361.25,293.8285212772226
110000,110.00000000016118,-679407.25,293.873202085547
115000,115.00000000018505,-679174.125,294.5040573024775
120000,120.00000000020893,-679543.375,290.5014151322809
125000,125.0000000002328,-679359.5625,294.0552978567565
130000,130.00000000025668,-679557.0,298.7109192010669
135000,135.00000000028055,-679349.5625,295.5335433147413
140000,140.00000000030442,-679386.5625,297.79163609553984
145000,145.0000000003283,-679177.9375,295.2582927915609
150000,150.00000000035217,-679520.125,296.9019885347978
155000,155.00000000037605,-679227.6875,299.2307416578027
160000,160.00000000039992,-679286.6875,294.4963162464369
165000,165.0000000004238,-679892.4375,304.98046735226336
170000,170.00000000044767,-679655.9375,295.2886424979271
175000,175.00000000047154,-679431.0,295.4235637011089
180000,180.00000000049542,-679429.0625,297.1438770531308
185000,185.0000000005193,-679662.75,293.56922887783617
190000,190.00000000054317,-679505.9375,299.0320594584449
195000,195.00000000056704,-679657.0625,298.07192415537156
200000,200.00000000059092,-679087.625,308.47399734945407
205000,205.0000000006148,-679401.25,308.0299432942739
210000,210.00000000063866,-679583.1875,294.2965422685002
